type,Problem,approximation-scheme,baseline,graph-name,thread-count,vertices,edges,treshold,b,m,preprocessing-time,tc-time,total-runtime,size-of-BF,CSR-size,total-size,approximated-count
RRR,JP-JC,BF,JP-JC_BF,kronecker,16,262144,370319570,0.001,1,204,30.8639,9.82321,40.6871,11.25,5652.63,5663.88,109875
RRR,JP-JC,BASE,JP-JC_BASE,kronecker,16,1048576,645584775,0,0,0,0,10649.5,10649.5,0,9858.84,9858.84,213766065
RRR,JP-JC,BASE,JP-JC_BASE,kronecker,16,262144,370319570,0,0,0,0,5281.16,5281.16,0,5652.63,5652.63,231045221
RRR,JP-JC,1H,JP-JC_1H,kronecker,16,262144,136157924,0.001,155,0,15.3991,35.4935,50.8926,159,2079.61,2238.61,64869574
RRR,JP-JC,BASE,JP-JC_BASE,kronecker,16,262144,136157924,0,0,0,0,1081.64,1081.64,0,2079.61,2079.61,59506850
RRR,JP-JC,BF,JP-JC_BF,kronecker,16,262144,136157924,0.001,1,155,11.3142,3.32696,14.6412,9.75,2079.61,2089.36,183221
RRR,JP-JC,1H,JP-JC_1H,kronecker,16,262144,370319570,0.001,204,0,37.5641,125.718,163.282,208,5652.63,5860.63,228460194
RRR,JP-JC,BF,JP-JC_BF,kronecker,16,1048576,645584775,0.001,1,492,53.9825,25.0273,79.0098,81,9858.84,9939.84,4765735
