type,Problem,approximation-scheme,baseline,graph-name,thread-count,vertices,edges,treshold,b,m,preprocessing-time,tc-time,total-runtime,size-of-BF,CSR-size,total-size,approximated-count
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,262144,136157924,0.001,1,155,10.5939,2.05415,12.648,9.75,2079.61,2089.36,299011
RRR,JP-OV,BASE,JP-OV_BASE,kronecker,16,262144,370319570,0,0,0,0,5103.88,5103.88,0,5652.63,5652.63,370213628
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,1048576,645584775,0.001,492,0,87.0565,273.853,360.91,1984,9858.84,11842.8,625635303
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,262144,136157924,0.001,155,0,15.3486,18.0548,33.4034,159,2079.61,2238.61,130123444
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,262144,370319570,0.001,1,204,28.5329,5.7695,34.3024,11.25,5652.63,5663.88,128090
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,1048576,645584775,0.001,1,492,49.8346,16.3158,66.1504,81,9858.84,9939.84,10820670
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,262144,370319570,0.001,204,0,37.3587,65.5169,102.876,208,5652.63,5860.63,361283875
RRR,JP-OV,BASE,JP-OV_BASE,kronecker,16,262144,136157924,0,0,0,0,1053.75,1053.75,0,2079.61,2079.61,135758430
RRR,JP-OV,BASE,JP-OV_BASE,kronecker,16,1048576,645584775,0,0,0,0,10186.3,10186.3,0,9858.84,9858.84,639509463
